id,year,doi,publisher,decision,reason,area,raw
31,2025,10.1109/JBHI.2024.3519600,IEEE,include,,Laboratory,"Mai N-D, Chung W-Y. On-Chip Mental Stress Detection: Integrating a Wearable Behind-The-Ear EEG Device With Embedded Tiny Neural Network. IEEE J Biomed Health Inform 2025;29:1872–85. https://doi.org/10.1109/JBHI.2024.3519600."
32,2025,10.1007/s44397-025-00030-0,Springer,exclude,E3,,"Chen Y, Tian Y, Zhou H, Xu J, Sun Y, Zhao C, et al. Assessment and biomarker exploration of chronic pain using wearable EEG device. Discov Sens 2025;1:28. https://doi.org/10.1007/s44397-025-00030-0."
33,2024,10.2196/52171,JMIR,include,,Benchmark,"Li J, Washington P. A Comparison of Personalized and Generalized Approaches to Emotion Recognition Using Consumer Wearable Devices: Machine Learning Study. JMIR AI 2024;3:e52171. https://doi.org/10.2196/52171."
34,2026,10.1016/j.bspc.2026.109683,Elsevier,include,,Daily life,"Bello-Orgaz G, Menéndez HD, Quintana-Quiroga F, Díaz-Álvarez A. Smart devices and stress level detection: Balancing machine learning model complexity and device intrusiveness. Biomed Signal Process Control 2026;117:109683. https://doi.org/10.1016/j.bspc.2026.109683."
35,2023,10.1371/journal.pone.0285332,PLOS,include,,Daily life,"Presby DM, Jasinski SR, Capodilupo ER. Wearable derived cardiovascular responses to stressors in free-living conditions. PLOS ONE 2023;18:e0285332. https://doi.org/10.1371/journal.pone.0285332."
36,2024,10.1371/journal.pone.0305258,PLOS,exclude,E3,,"Moebus M, Holz C. Personalized interpretable prediction of perceived sleep quality: Models with meaningful cardiovascular and behavioral features. PLOS ONE 2024;19:e0305258. https://doi.org/10.1371/journal.pone.0305258."
37,2024,10.1371/journal.pone.0305864,PLOS,include,,Laboratory,"Kim H, Song S, Cho BH, Jang DP. Deep learning-based stress detection for daily life use using single-channel EEG and GSR in a virtual reality interview paradigm. PLOS ONE 2024;19:e0305864. https://doi.org/10.1371/journal.pone.0305864."
38,2026,10.1016/j.bios.2026.118461,Elsevier,include,,Laboratory,"Rahman FN, Bindra PS, Nawar A, Crane HT, Sanchez-Perez JA, Berkebile JA, et al. A wearable system enabling acute stress monitoring and closed-loop mitigation through transcutaneous median nerve stimulation. Biosens Bioelectron 2026;301:118461. https://doi.org/10.1016/j.bios.2026.118461."
39,2025,10.1038/s41746-025-02036-9,Springer Nature,exclude,E3,,"Fraser RA, Walker RJ, Campbell JA, Ekwunife O, Egede LE. Integration of artificial intelligence and wearable technology in the management of diabetes and prediabetes. Npj Digit Med 2025;8:687. https://doi.org/10.1038/s41746-025-02036-9."
40,2025,10.1016/j.dcan.2025.04.001,Elsevier,exclude,E4,,"Alam MdSB, Lameesa A, Sharmin S, Afrin S, Ahmed SF, Nikoo MR, et al. Role of deep learning in cognitive healthcare: Wearable signal analysis, algorithms, benefits and challenges. Digit Commun Netw 2025;11:642–70. https://doi.org/10.1016/j.dcan.2025.04.001."
41,2024,10.1109/TIM.2023.3342218,IEEE,include,,Laboratory,"Ribeiro G, Postolache O, Martín FF. A New Intelligent Approach for Automatic Stress Level Assessment Based on Multiple Physiological Parameters Monitoring. IEEE Trans Instrum Meas 2024;73:1–14. https://doi.org/10.1109/TIM.2023.3342218."
42,2023,10.1109/JSEN.2023.3247341,IEEE,include,,Aviation,"Li Y, Li K, Chen J, Wang S, Lu H, Wen D. Pilot Stress Detection Through Physiological Signals Using a Transformer-Based Deep Learning Model. IEEE Sens J 2023;23:11774–84. https://doi.org/10.1109/JSEN.2023.3247341."
43,2025,10.1109/JSEN.2024.3512595,IEEE,include,,Laboratory,"Barki H, Nkenyereye L, Chung W-Y. Detection and Classification of Mental Stress Using In-Ear Plethysmography and a Vision Transformer. IEEE Sens J 2025;25:4015–27. https://doi.org/10.1109/JSEN.2024.3512595."
44,2022,10.1109/JSEN.2022.3160006,IEEE,exclude,E3,,"Mu Y, Yang W, Cheng J, Lin L, Li L, Jin N, et al. Influence of the Geometric Parameters of Raised Islands on the Performance of Flexible Wearable Electronic Systems. IEEE Sens J 2022;22:7816–24. https://doi.org/10.1109/JSEN.2022.3160006."
45,2025,10.1109/LSENS.2025.3596610,IEEE,include,,Driving,"Pavan K, Singh A, Pawar DS, Ganapathy N. Multimodal Wearable-Based Automated Driver Inattention State Assessment Using Multidevices and Novel Cross-Modal Attention Framework. IEEE Sens Lett 2025;9:1–4. https://doi.org/10.1109/LSENS.2025.3596610."
46,2023,10.1109/JBHI.2023.3323014,IEEE,exclude,E3,,"Yaldiz CO, Buller MJ, Richardson KL, An S, Lin DJ, Satish A, et al. Early Prediction of Impending Exertional Heat Stroke With Wearable Multimodal Sensing and Anomaly Detection. IEEE J Biomed Health Inform 2023;27:5803–14. https://doi.org/10.1109/JBHI.2023.3323014."
47,2026,10.1109/JSEN.2025.3649586,IEEE,include,,Benchmark,"Ali MS, Motin MA, Bipro SS, Kabir S, Syfullah MK, Kumar DK. Detection of Mental Stress From Photoplethysmography for Under- Resourced Healthcare Systems. IEEE Sens J 2026;26:6293–301. https://doi.org/10.1109/JSEN.2025.3649586."
48,2023,10.1109/JSEN.2023.3304422,IEEE,include,,Daily life,"Moser MK, Resch B, Ehrhart M. An Individual-Oriented Algorithm for Stress Detection in Wearable Sensor Measurements. IEEE Sens J 2023;23:22845–56. https://doi.org/10.1109/JSEN.2023.3304422."
49,2026,10.1109/TAFFC.2025.3628467,IEEE,include,,Education,"Laiti J, Liu Y, Dunne PJ, Byrne E, Zhu T. Real-World Classification of Student Stress and Fatigue Using Wearable PPG Recordings. IEEE Trans Affect Comput 2026;17:587–601. https://doi.org/10.1109/TAFFC.2025.3628467."
50,2025,10.1109/LSP.2025.3607767,IEEE,include,,Benchmark,"Ali MS, Motin MA, Kabir S. ReTeNet: A Residual Encoder and Transformer Encoders Network for Stress Monitoring From Wearable Device. IEEE Signal Process Lett 2025;32:3635–9. https://doi.org/10.1109/LSP.2025.3607767."
51,2023,10.1109/JSEN.2022.3204586,IEEE,include,,Clinical,"Khan HA, Nguyen TN, Shafiq G, Mirza J, Javed MA. A Secure Wearable Framework for Stress Detection in Patients Affected by Communicable Diseases. IEEE Sens J 2023;23:981–8. https://doi.org/10.1109/JSEN.2022.3204586."
52,2023,10.1109/JBHI.2023.3239305,IEEE,include,,Benchmark,"Zhu L, Spachos P, Ng PC, Yu Y, Wang Y, Plataniotis K, et al. Stress Detection Through Wrist-Based Electrodermal Activity Monitoring and Machine Learning. IEEE J Biomed Health Inform 2023;27:2155–65. https://doi.org/10.1109/JBHI.2023.3239305."
53,2024,10.1109/ACCESS.2024.3463742,IEEE,include,,Benchmark,"Shikha S, Sethia D, Indu S. Optimization of Wearable Biosensor Data for Stress Classification Using Machine Learning and Explainable AI. IEEE Access 2024;12:169310–27. https://doi.org/10.1109/ACCESS.2024.3463742."
54,2022,10.1109/TBME.2021.3113593,IEEE,include,,Laboratory,"Momeni N, Valdes AA, Rodrigues J, Sandi C, Atienza D. CAFS: Cost-Aware Features Selection Method for Multimodal Stress Monitoring on Wearable Devices. IEEE Trans Biomed Eng 2022;69:1072–84. https://doi.org/10.1109/TBME.2021.3113593."
55,2026,10.1109/ACCESS.2025.3644400,IEEE,include,,Benchmark,"Ali MS, Bipro SS, Motin MA, Kabir S, Sharma M, Chowdhury MEH. TEANet: A Transpose-Enhanced Autoencoder Network for Stress Monitoring on Resource-Constrained Wearable Device. IEEE Access 2026;14:9560–71. https://doi.org/10.1109/ACCESS.2025.3644400."
56,2025,10.1109/LSENS.2025.3605112,IEEE,include,,Laboratory,"Anandan M, Palanisamy R. Wearable ECG Sensor-Based Cognitive Stress Detection During Physical Activity Using Multifractal Detrended Fluctuation Analysis. IEEE Sens Lett 2025;9:1–4. https://doi.org/10.1109/LSENS.2025.3605112."
57,2021,10.1109/ACCESS.2021.3097038,IEEE,exclude,E1,,"Aristizabal S, Byun K, Wood N, Mullan AF, Porter PM, Campanella C, et al. The Feasibility of Wearable and Self-Report Stress Detection Measures in a Semi-Controlled Lab Environment. IEEE Access 2021;9:102053–68. https://doi.org/10.1109/ACCESS.2021.3097038."
58,2023,10.1109/JIOT.2023.3265768,IEEE,include,,Benchmark,"Rashid N, Mortlock T, Faruque MAA. Stress Detection Using Context-Aware Sensor Fusion From Wearable Devices. IEEE Internet Things J 2023;10:14114–27. https://doi.org/10.1109/JIOT.2023.3265768."
59,2026,10.1371/journal.pone.0339288,PLOS,exclude,E4,,"Dell’Aversana G, Herold M, Simbula S, Ruina I, Pillan M, Miglioretti M. Wearable devices and ecological momentary assessment EMA in the workplace: A study protocol on work stress assessment. PLOS One 2026;21:e0339288. https://doi.org/10.1371/journal.pone.0339288."
60,2026,10.1371/journal.pone.0342064,PLOS,exclude,E3,,"Demirel BU, Akay GU, Streli P, Ozturkmen H, Holz C. Smartwatch-based detection of loss of pulse. PLOS One 2026;21:e0342064. https://doi.org/10.1371/journal.pone.0342064."
61,2024,10.1371/journal.pone.0310776,PLOS,include,,Occupational,"M. Khayyat M, Munshi RM, Alabduallah B, Lamoudan T, Ghith E, Kim T, et al. An improved biometric stress monitoring solution for working employees using heart rate variability data and Capsule Network model. PLOS ONE 2024;19:e0310776. https://doi.org/10.1371/journal.pone.0310776."
62,2022,10.1101/2022.03.03.22271859,medRxiv,exclude,E2,,"Lacey A, Whyte E, O’Keefe S, O’Connor S, Moran K. A qualitative examination of the factors affecting the adoption of injury focused wearable technologies in recreational runners 2022. https://doi.org/10.1101/2022.03.03.22271859."
63,2024,10.1371/journal.pone.0311753,PLOS,exclude,E3,,"Gupta A, Aljaidi M, Bansal S, Al Mamlook RE, Kumar V, Aljohani A, et al. Design analysis and performance enhancement of a 2-element MIMO skin-implantable antenna for IoT-based health monitoring devices. PLOS ONE 2024;19:e0311753. https://doi.org/10.1371/journal.pone.0311753."
64,2025,10.1371/journal.pone.0320866,PLOS,exclude,E4,,"Xue M, Yu B, Wu J, Sun X, Fang P, Yao C, et al. GlowGrow: Designing an ambient biofeedback system for pregnancy stress management. PLOS One 2025;20:e0320866. https://doi.org/10.1371/journal.pone.0320866."
65,2025,10.1371/journal.pone.0322413,PLOS,exclude,E4,,"Sumińska S, Rynkiewicz A. Mindfulness-based stress reduction training supplemented with physiological signals from smartwatch improves mindfulness and reduces stress, but not anxiety and depression. PLOS ONE 2025;20:e0322413. https://doi.org/10.1371/journal.pone.0322413."
66,2023,10.1371/journal.pone.0292012,PLOS,exclude,E3,,"Wang TY, Cui J, Fan Y. A wearable-based sports health monitoring system using CNN and LSTM with self-attentions. PLOS ONE 2023;18:e0292012. https://doi.org/10.1371/journal.pone.0292012."
67,2022,10.1371/journal.pone.0273541,PLOS,exclude,E3,,"Amami K, Yoshihisa A, Horikoshi Y, Yamada S, Nehashi T, Hijioka N, et al. Utility of a novel wearable electrode embedded in an undershirt for electrocardiogram monitoring and detection of arrhythmias. PLOS ONE 2022;17:e0273541. https://doi.org/10.1371/journal.pone.0273541."
68,2022,10.1371/journal.pdig.0000104,PLOS,exclude,E4,,"Canali S, Schiaffonati V, Aliverti A. Challenges and recommendations for wearable devices in digital health: Data quality, interoperability, health equity, fairness. PLOS Digit Health 2022;1:e0000104. https://doi.org/10.1371/journal.pdig.0000104."
69,2025,10.1371/journal.pone.0314154,PLOS,exclude,E3,,"Bulut MG, Unal S, Hammad M, Pławiak P. Deep CNN-based detection of cardiac rhythm disorders using PPG signals from wearable devices. PLOS ONE 2025;20:e0314154. https://doi.org/10.1371/journal.pone.0314154."
